medalist_wikidata_id,medalist_link,medalist_name,medal,delegation_wikidata_id,delegation_name,country_medal_wikidata_id,country_medal,country_medal_code2,country_medal_code3,date_of_birth,Age this year,place_of_birth_wikidata_id,place_of_birth,place_of_birth_county_in_wikidata_id,place_of_birth_county,sex_or_gender_wikidata_id,sex_or_gender,event_wikidata_id,event_link,event_name,event_part_of,sport
Q126709582,https://en.wikipedia.org/wiki/Abdullah_Y%C4%B1ld%C4%B1rm%C4%B1%C5%9F,Abdullah Yıldırmış,bronze,Q116778664,Turkey at the 2024 Summer Olympics,Q43,Turkey,TR,TUR,NA,NA,Q406,Istanbul,Q534799,Istanbul Province,Q6581097,male,Q117156627,https://en.wikipedia.org/wiki/Archery_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_team,Archery at the 2024 Summer Olympics – Men's team,archery at the 2024 Summer Olympics,archery
Q20029128,https://en.wikipedia.org/wiki/Javier_Ib%C3%A1%C3%B1ez,Javier Ibáñez,bronze,Q114244624,Bulgaria at the 2024 Summer Olympics,Q219,Bulgaria,BG,BGR,NA,NA,Q272471,Matanzas,Q115438,Matanzas Province,Q6581097,male,Q116495968,https://en.wikipedia.org/wiki/Boxing_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_57_kg,Boxing at the 2024 Summer Olympics – Men's featherweight,boxing at the 2024 Summer Olympics,boxing
Q124819464,https://en.wikipedia.org/wiki/Aira_Villegas,Aira Villegas,bronze,Q120212827,Philippines at the 2024 Summer Olympics,Q928,Philippines,PH,PHL,NA,NA,Q40626,Tacloban,Q13675,Eastern Visayas,Q6581072,female,Q116495960,https://en.wikipedia.org/wiki/Boxing_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_50_kg,Boxing at the 2024 Summer Olympics – Women's 50 kg,boxing at the 2024 Summer Olympics,boxing
Q123115702,https://en.wikipedia.org/wiki/Philip_Kim_(breakdancer),Philip Kim,gold,Q114363515,Canada at the 2024 Summer Olympics,Q16,Canada,CA,CAN,NA,NA,NA,NA,NA,NA,Q6581097,male,Q127505539,https://en.wikipedia.org/wiki/Breaking_at_the_2024_Summer_Olympics_%E2%80%93_B-Boys,Breaking at the 2024 Summer Olympics – B-Boys,breaking at the 2024 Summer Olympics,breakdance
Q66732337,https://en.wikipedia.org/wiki/Liu_Hao_(canoeist),Liu Hao,gold,Q114672489,China at the 2024 Summer Olympics,Q148,People's Republic of China,CN,CHN,NA,NA,Q43194,Yunnan,NA,NA,Q6581097,male,Q117156597,https://en.wikipedia.org/wiki/Canoeing_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_C-2_500_metres,Canoeing at the 2024 Summer Olympics – Men's C-2 500 metres,canoeing at the 2024 Summer Olympics,canoeing and kayaking
Q55188212,https://en.wikipedia.org/wiki/Sarah_Br%C3%BC%C3%9Fler,Sarah Brüßler,silver,Q114132359,Germany at the 2024 Summer Olympics,Q183,Germany,DE,DEU,NA,NA,Q2865,Kassel,Q7928,Kassel Government Region,Q6581072,female,Q117156606,https://en.wikipedia.org/wiki/Canoeing_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_K-4_500_metres,Canoeing at the 2024 Summer Olympics – Women's K-4 500 metres,canoeing at the 2024 Summer Olympics,canoeing and kayaking
Q128008340,https://en.wikipedia.org/wiki/Becky_Moody,Becky Moody,bronze,Q42911977,Great Britain at the 2024 Summer Olympics,Q145,United Kingdom,GB,GBR,NA,NA,Q26,Northern Ireland,Q145,United Kingdom,Q6581072,female,Q117156652,https://en.wikipedia.org/wiki/Equestrian_at_the_2024_Summer_Olympics_%E2%80%93_Team_dressage,equestrian at the 2024 Summer Olympics – team dressage,equestrian at the 2024 Summer Olympics,equestrian sport
Q111933191,https://en.wikipedia.org/wiki/Teo_Hinrichs,Teo Hinrichs,silver,Q114132359,Germany at the 2024 Summer Olympics,Q183,Germany,DE,DEU,NA,NA,Q2119,Mannheim,Q8165,Karlsruhe Government Region,Q6581097,male,Q115799683,https://en.wikipedia.org/wiki/Field_hockey_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_tournament,field hockey at the 2024 Summer Olympics – men's tournament,field hockey at the 2024 Summer Olympics,field hockey
Q127786456,https://en.wikipedia.org/wiki/Ponepati_Loganimasi,Ponepati Loganimasi,silver,Q118368956,Fiji at the 2024 Summer Olympics,Q712,Fiji,FJ,FJI,NA,NA,NA,NA,NA,NA,Q6581097,male,Q115799997,https://en.wikipedia.org/wiki/Rugby_sevens_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_tournament,rugby sevens at the 2024 Summer Olympics – men's tournament,rugby sevens at the 2024 Summer Olympics,rugby sevens
Q127850185,https://en.wikipedia.org/wiki/Iowane_Teba,Iowane Teba,silver,Q118368956,Fiji at the 2024 Summer Olympics,Q712,Fiji,FJ,FJI,NA,NA,NA,NA,NA,NA,Q6581097,male,Q115799997,https://en.wikipedia.org/wiki/Rugby_sevens_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_tournament,rugby sevens at the 2024 Summer Olympics – men's tournament,rugby sevens at the 2024 Summer Olympics,rugby sevens
